,original_text,predicted_intent,actual_intent1,actual_confidence1,actual_intent2,actual_confidence2,actual_intent3,actual_confidence3
0,how can one know if they have been infected?,Covid_Symptoms,tx_count,0.5976738929748535,covid-diagnosis,0.4659035444259644,covid_thailand_ill_case,0.2444091320037842
1,How many cases of COVID-19 are in the Thailand?,tx_count,tx_count,0.9978486061096192,Treatment_hospital_capacity,0.2522840559482575,cdc_facts,0.24221449792385102
2,airlines information,Airlines_Information,Covid_Description,0.4923874616622925,CDC_Info,0.34294116497039795,Bot_Control_Clarification,0.3013811588287354
3,What is nearest hospital ?,Test_Center_Contact_Info,Test_Center_Contact_Info,0.6676450252532959,Covid_Description,0.3519688963890076,Treatment_hospital_capacity,0.2747255861759186
4,I was on vacation in another country. Do I need to quarantine?,covid_thailand_quarantine,covid_thailand_quarantine,0.7469499588012696,Covid_Travel_Restrictions,0.5014449834823609,Bot_Control_Change_Subject,0.28088892698287965
5,how do I know if i have this thing,Covid_Symptoms,Covid_Symptoms,0.5182248830795289,covid-diagnosis,0.48942313194274906,General_Agent_Capabilities,0.2728841066360474
6,About you,General_About_You,General_About_You,0.7766338348388673,General_Greetings,0.34311814308166505,General_Positive_Feedback,0.3426713109016418
7,is covid the same as the flu?,covid-flu-vs-coronavirus,covid-flu-vs-coronavirus,0.9833892345428468,Covid_Case_Count,0.2535980820655823,cdc_summary,0.2533978819847107
8,I have one more question,Bot_Control_Change_Subject,Bot_Control_Clarification,0.6081546783447266,Bot_Control_Change_Subject,0.488050651550293,Bot_Control_Unsure,0.3006629943847656
9,Is this a trusted chat site?,General_Security_Assurance,General_Security_Assurance,0.9103167057037354,General_Human_or_Bot,0.2851509213447571,Bot_Control_Change_Subject,0.26958138942718507
10,How can I reduce the spread?,Social_Distancing,Treatment_info,0.3964350581169129,govt_emergency,0.31468220949172976,covid-prevent-spread,0.2953398704528809
11,You're misunderstanding me,Bot_Control_Reject_Response,Bot_Control_Confirm_Presence,0.3555177211761475,General_Negative_Feedback,0.3273293495178223,General_About_You,0.2673224270343781
12,Let us talk about you,General_About_You,General_About_You,0.49906249046325685,Bot_Control_Change_Subject,0.3351634740829468,General_Connect_to_Agent,0.2528144359588623
13,status ?,tx_count,tx_count,0.6541415214538575,Covid_Case_Count,0.28917302489280705,CDC_Info,0.273420798778534
14,You are on my nerves,General_Negative_Feedback,Covid_Symptoms,0.658116340637207,General_Negative_Feedback,0.41853854656219486,Bot_Control_Confirm_Presence,0.31678338050842286
15,When will the NCAA championships be held?,Covid_Event_Shutdowns,Covid_School_Shutdown,0.4757023334503174,Covid_Event_Shutdowns,0.42798049449920655,Covid_Testing_Results,0.274235475063324
16,"I'm feeling sick, but I'm not sure whether I have the covid-19.",covid-diagnosis,covid-diagnosis,0.9526088237762451,Covid_Symptoms,0.3146608591079712,Airlines_Information,0.2592329561710358
17,Stop doing this,General_Ending,General_Ending,0.7388081073760986,Bot_Control_Ignore_Undo,0.27262814640998845,covid_thailand_when_quarantine,0.2675575613975525
18,I want to speak to a human,General_Connect_to_Agent,General_Connect_to_Agent,0.9975226402282715,General_Human_or_Bot,0.2524371206760407,covid_thailand_quarantine,0.23596225976943971
19,I'm afraid I have covid-19,Covid_Symptoms,covid-diagnosis,0.9382400989532471,General_Ending,0.3918870806694031,Application_for_COVID-19,0.2601221859455109
20,I don t know what you need,Bot_Control_Unsure,Bot_Control_Unsure,0.9186134338378906,General_Agent_Capabilities,0.29361282587051396,mask_type_question,0.2404779136180878
21,What is covid,Covid_Description,Covid_Description,1.0,Airlines_Information,0.0,Application_for_COVID-19,0.0
22,Talk about something else,Bot_Control_Change_Subject,Bot_Control_Change_Subject,0.9404869079589844,Bot_Control_Clarification,0.28036782741546634,General_Agent_Capabilities,0.2632857739925385
23,Is a headache a symptom of the coronavirus?,Covid_Symptoms,Covid_Symptoms,0.9690844535827636,covid-flu-vs-coronavirus,0.4142500162124634,covid_thailand_cost,0.30487914085388185
24,Could I speak to someone in the store next tuesday?,Customer_Care_Appointments,Customer_Care_Appointments,0.6564116954803467,General_Connect_to_Agent,0.4994700431823731,covid-schools-open,0.271077710390091
25,Please connect me to a live agent,General_Connect_to_Agent,General_Connect_to_Agent,0.9993369579315186,tx_count,0.27430981397628784,Bot_Control_Start_Over,0.23816317915916443
26,In what way can I tell if my plastic is safe?,General_Security_Assurance,covid-fever-definition,0.48093178272247317,General_Security_Assurance,0.40989108085632325,covid-what-if-sick,0.33315349817276
27,Are you even real?,General_Human_or_Bot,General_Human_or_Bot,0.8720614910125732,General_Negative_Feedback,0.28532403111457827,General_About_You,0.25636925101280217
28,How do I get tested?,covid-screening,covid-screening,0.8504220008850099,Covid_Symptoms,0.36942796707153325,covid_thailand_cost,0.2583587884902954
29,"I live in Austin, where can I get tested for Covid-19",covid-screening,covid-screening,0.9951096057891846,Airlines_Information,0.24149381518363955,Application_for_COVID-19,0.2331992417573929
30,What do you mean by that?,Bot_Control_Clarification,General_Agent_Capabilities,0.6314127922058106,covid-shortness-of-breath-definition,0.46583137512207035,Bot_Control_Ignore_Undo,0.37852799892425537
31,how is covid status today ?,tx_count,tx_count,0.9460950851440431,Covid_Description,0.3463486790657043,Covid_Case_Count,0.2551522672176361
32,Contact person,General_Connect_to_Agent,General_Connect_to_Agent,0.7816828727722169,travel_embassies,0.4316308975219727,Customer_Care_Appointments,0.27544321417808537
33,when can my kid go back school,Covid_School_Shutdown,Covid_School_Shutdown,0.9948569297790528,Covid_Testing_Locations,0.23736938238143923,covid_thailand_vaccine,0.23360787332057953
34,how do i know if I got this thing,Covid_Symptoms,Covid_Symptoms,0.5219849824905396,covid-diagnosis,0.38524761199951174,General_Agent_Capabilities,0.3661860585212708
35,What is the test to detect covid 19?,covid_thailand_cost,covid_thailand_cost,0.466746735572815,Covid_Symptoms,0.2872596144676209,Covid_Case_Count,0.2823276162147522
36,Hate you,General_Negative_Feedback,General_Negative_Feedback,0.9756481647491455,Cancel,0.24796820580959322,covid_thailand_from_airborne,0.23303540647029877
37,What if I break quarantine?,covid_thailand_quarantine,covid_thailand_quarantine,0.9519463062286377,covid-what-if-sick,0.3123443365097046,Bot_Control_Standby,0.29101529717445374
38,Are my schools closed,Covid_School_Shutdown,Covid_School_Shutdown,1.0,Airlines_Information,0.0,Application_for_COVID-19,0.0
39,Pregnancy advice,covid_thailand_pregnancy,Covid_Symptoms,0.39415892362594607,Covid_Testing_Results,0.24465589821338654,Customer_Care_Appointments,0.2385614335536957
40,How many cases of the virus are there in the world?,tx_count,tx_count,0.9996206283569335,covid_thailand_report_someone,0.244194296002388,General_Security_Assurance,0.2427520126104355
41,I'm looking forward to working with you again! :),General_Positive_Feedback,General_Ending,0.41619424819946294,General_Human_or_Bot,0.3188265562057495,covid-schools-open,0.31169698238372806
42,should i travel?,Covid_Travel_Restrictions,Covid_Travel_Restrictions,0.9265897750854493,cdc_traveler,0.27693026661872866,Social_Distancing,0.27097803950309757
43,I change my mind.,Bot_Control_Ignore_Undo,Bot_Control_Approve_Response,0.7188361167907715,Customer_Care_Appointments,0.4101972818374634,Bot_Control_Change_Subject,0.274467271566391
44,The WHO has declared a pandemic in the world. What does this mean?,globalcovid_pandemic,globalcovid_pandemic,0.9145832061767578,travel_embassies,0.31482912302017213,Bot_Control_Ignore_Undo,0.2991377830505371
45,Yes send text message,Bot_Control_Approve_Response,Bot_Control_Reject_Response,0.29200305938720705,Bot_Control_Approve_Response,0.29125940799713135,Bot_Control_Start_Over,0.2846747994422913
46,location please,Test_Center_Contact_Info,Test_Center_Contact_Info,0.5364861965179444,tx_count,0.3360144138336182,Bot_Control_Start_Over,0.29427643418312077
47,Should I take Theraflu?,Treatment_info,Treatment_info,0.4603978395462036,Covid_Travel_Restrictions,0.3311566114425659,Social_Distancing,0.31172349452972414
48,I need help with find a test center,Test_Center_Contact_Info,Test_Center_Contact_Info,0.7835807800292969,covid_thailand_cost,0.3623406767845154,Bot_Control_Start_Over,0.28082219362258914
49,when can my kids go back to college?,Covid_School_Shutdown,Covid_School_Shutdown,0.8839294910430908,Covid_Travel_Restrictions,0.23676705360412598,covid_thailand_when_quarantine,0.23618158102035525
50,How can I tell if I am infected?,covid-diagnosis,covid-diagnosis,0.6544466018676758,covid-fever-definition,0.5922163486480714,tx_count,0.26621958017349245
51,How can I skip the recorded menu and go straight to a live person?,General_Connect_to_Agent,General_Connect_to_Agent,0.5333645343780518,covid_thailand_hand_washing,0.28473998904228215,COVID_Illness_Length,0.24925302267074587
52,Its been a week. Who can I call to get my test results?,Covid_Testing_Results,Covid_Testing_Results,0.9468462944030762,General_Connect_to_Agent,0.29472216963768005,travel_embassies,0.27804040908813477
53,Can herbal medicines such as andrographis Paniculata cure Coronavirus?,covid_thailand_herbal_medicines,Treatment_info,0.9057167530059815,covid-flu-vs-coronavirus,0.450602650642395,covid_thailand_vaccine,0.3322520852088928
54,One more time from the beginning,Bot_Control_Start_Over,Bot_Control_Start_Over,0.7757283210754395,Treatment_shortnessOfBreath,0.26735422015190125,Bot_Control_Clarification,0.26633616089820866
55,Why was a pandemic declared?,globalcovid_pandemic,globalcovid_pandemic,0.14688153466006212,Covid_Event_Shutdowns,0.044782439322717596,covid_thailand_hand_washing,0.03717541865946217
56,help me decide,Help,Help,0.3150587320327759,General_Agent_Capabilities,0.31021894216537477,Bot_Control_Standby,0.2902815341949463
57,What do you mean?,Bot_Control_Clarification,General_Agent_Capabilities,0.5302582740783692,covid-shortness-of-breath-definition,0.5204671859741211,covid-fever-definition,0.4078145503997803
58,I would like to start all over,Bot_Control_Start_Over,Bot_Control_Start_Over,0.9273406982421875,Bot_Control_Standby,0.31298811435699464,Covid_Event_Shutdowns,0.2482439070940018
59,Can someone come see me during quarantine?,covid_thailand_quarantine,covid_thailand_quarantine,0.8941208839416503,General_Connect_to_Agent,0.25746181011199953,covid_thailand_self_quarantine,0.23988802433013917
60,how many people have the virus?,tx_count,tx_count,0.5255066156387329,covid-diagnosis,0.3154327869415283,covid_thailand_hand_washing,0.2561176180839539
61,store open hours?,Customer_Care_Store_Hours,Customer_Care_Store_Hours,0.9991236209869385,Bot_Control_Standby,0.2407092094421387,TH_Embassy_Travel_News,0.2381639510393143
62,Is there anyone there I can actually talk to for real?,General_Connect_to_Agent,General_Connect_to_Agent,0.8298842430114746,General_Jokes,0.30237916707992557,covid_thailand_quarantine,0.26389343142509464
63,Covid around me,tx_count,Bot_Control_Confirm_Presence,0.9020087242126464,tx_count,0.369428026676178,Covid_Description,0.27879220247268677
64,what is the corona virus?,Covid_Description,Covid_Description,1.0,Airlines_Information,0.0,Application_for_COVID-19,0.0
65,What are the first symptoms for COVID?,Covid_Symptoms,Covid_Symptoms,0.988683032989502,Treatment_hospital_capacity,0.24985117316246033,Covid_School_Shutdown,0.24626723229885103
66,Do i have coronavirus?,covid-diagnosis,covid-diagnosis,0.3866953492164612,Treatment_info,0.2814544022083283,mask_type_question,0.2743741273880005
67,I do not like you,General_Negative_Feedback,General_Negative_Feedback,0.9319604873657228,Bot_Control_Clarification,0.25413548946380615,General_Jokes,0.23346653282642366
68,i have a sore throat,Covid_Symptoms,Covid_Symptoms,0.9964535236358643,masks_protection,0.2514430284500122,globalcovid_pandemic,0.2376969188451767
69,covid number in my state?,Covid_Case_Count,tx_count,0.9563064098358154,govt_emergency,0.30603440999984743,Covid_Travel_Restrictions,0.3024297714233399
70,Should I spray myself or my kids with disinfectant?,Covid_Cleaning_Disinfecting,covid-schools-open,0.46621594429016117,Covid_Cleaning_Disinfecting,0.4637065410614014,covid-diagnosis,0.28975898623466495
71,tx_test,tx_test,covid-screening,0.8344484329223634,tx_emergency,0.4329828977584839,covid_thailand_cost,0.41261224746704106
72,What kind of breathing problem is that?,covid-shortness-of-breath-definition,Treatment_shortnessOfBreath,0.693341064453125,Treatment_info,0.2619291365146637,Bot_Control_Approve_Response,0.25779782533645634
73,Do you have humor?,General_Jokes,General_Jokes,0.810373067855835,General_About_You,0.2978881657123566,Covid_Cleaning_Disinfecting,0.2451802879571915
74,I d like to stop doing this,General_Ending,General_Ending,0.567987036705017,General_Negative_Feedback,0.3244801163673401,covid_thailand_when_quarantine,0.26429654955863957
75,Screening cost,covid_thailand_cost,covid_thailand_cost,0.6917898654937744,covid-screening,0.5536351442337036,covid-diagnosis,0.2986435174942017
76,Where can I get tested for coronavirus?,covid-screening,covid-screening,1.0,Airlines_Information,0.0,Application_for_COVID-19,0.0
77,What is the latest situation ?,Covid_Case_Count,Covid_Case_Count,0.8260603904724122,globalcovid_pandemic,0.24054788053035736,General_Positive_Feedback,0.2345076709985733
78,How is the US government addressing the spread of covid-19?,govt_emergency,govt_emergency,0.918616533279419,Covid_Case_Count,0.28667148351669314,Covid_Description,0.2526816725730896
79,where did covid come from?,Covid_Description,Covid_Description,0.9485148429870607,General_About_You,0.32291263341903687,covid-screening,0.30150842666625977
80,Give me a second,Bot_Control_Standby,Bot_Control_Standby,0.8233048915863037,General_Ending,0.28985748887062074,tx_count,0.28937705755233767
81,What are you able to deal with?,General_Agent_Capabilities,General_Agent_Capabilities,0.9679606914520265,Customer_Care_Appointments,0.28039675354957583,covid_thailand_ill_case,0.24623380005359652
82,How is a pandemic different from an epidemic?,globalcovid_pandemic,globalcovid_pandemic,0.9256103038787842,covid-flu-vs-coronavirus,0.5113999843597412,Covid_School_Shutdown,0.25333985686302185
83,what are the symptoms I should look out for,Covid_Symptoms,Covid_Symptoms,0.7777809143066408,covid-schools-open,0.29034456610679626,Covid_Event_Shutdowns,0.2496642917394638
84,You've been so helpful :),General_Positive_Feedback,General_Positive_Feedback,0.6580041408538819,General_Greetings,0.3668694853782654,Bot_Control_Unsure,0.27619683742523193
85,Where can I learn more about covid?,Covid_Description,Bot_Control_Clarification,0.36793458461761475,who_video,0.3236412525177002,General_About_You,0.31662490367889407
86,Wait! Let's back up few steps and do that again,Bot_Control_Ignore_Undo,Bot_Control_Standby,0.84365873336792,Bot_Control_Ignore_Undo,0.3562316417694092,travel_backtoUS,0.3334615588188171
87,Call agent,General_Connect_to_Agent,General_Connect_to_Agent,0.9247608184814453,General_Ending,0.26346777081489564,tx_emergency,0.2589451134204865
88,I heard about covid what is it?,Covid_Description,Covid_Description,0.5306073665618897,govt_emergency,0.2879263758659363,Bot_Control_Clarification,0.2688134849071503
89,How is flu different from corpnavirus,covid-flu-vs-coronavirus,covid-flu-vs-coronavirus,0.944667673110962,Covid_School_Shutdown,0.2934635877609253,General_Greetings,0.25611308217048645
90,Is there a medication that can help me feel better?,Treatment_info,Treatment_info,0.5471509218215942,Help,0.32063075304031374,Covid_School_Shutdown,0.2910098314285279
91,How cool is this?,General_Positive_Feedback,General_Positive_Feedback,0.44945194721221926,Covid_Description,0.31313486099243165,General_Security_Assurance,0.30815809965133667
92,Conversation secure?,General_Security_Assurance,General_Security_Assurance,0.9383325099945068,General_Connect_to_Agent,0.2586011171340943,Thanks,0.25708134770393376
93,What are you saying?,Bot_Control_Clarification,General_Agent_Capabilities,0.31342549324035646,General_Human_or_Bot,0.30244888067245485,Bot_Control_Clarification,0.29444264173507695
94,How long should I Quarrantine?,covid_thailand_quarantine,covid_thailand_quarantine,0.8183876991271972,COVID_Illness_Length,0.2947394728660584,Goodbye,0.2912945568561554
95,That's everything,General_Ending,Bot_Control_Ignore_Undo,0.4338272094726563,Bot_Control_Approve_Response,0.301733934879303,General_Greetings,0.29337258338928224
96,Can you tell me what a pandemic really is?,globalcovid_pandemic,globalcovid_pandemic,0.910654926300049,covid-fever-definition,0.32279137372970584,govt_emergency,0.32036787271499634
97,How long should you self-quarantine?,covid_thailand_quarantine,covid_thailand_quarantine,0.9690834522247316,Customer_Care_Store_Hours,0.3138313412666321,General_About_You,0.25396953225135804
98,I need to speak to a representative. How would I go about doing so?,General_Connect_to_Agent,General_Connect_to_Agent,0.6764233112335205,covid-schools-open,0.278602021932602,travel_embassies,0.2584907650947571
99,Is it safe to fly to Seattle?,Covid_Travel_Restrictions,cdc_traveler,0.4251389265060425,Food_safety,0.3341156125068665,General_Greetings,0.32178148031234743
100,Let us reopen this again.,Bot_Control_Start_Over,Bot_Control_Ignore_Undo,0.6117782115936279,Bot_Control_Start_Over,0.35452142953872684,Bot_Control_Standby,0.3111645340919495
101,How do you function?,General_About_You,General_Agent_Capabilities,0.8277918815612793,covid-screening,0.3415525555610657,General_Security_Assurance,0.31279404163360597
102,How do flu symptoms differ from cold symptoms?,covid-flu-vs-common-cold,covid-flu-vs-coronavirus,0.5066048622131347,covid-flu-vs-common-cold,0.3706743836402893,Covid_Symptoms,0.3432618141174316
103,How high is does my temperature need to be for a fever?,covid-fever-definition,covid-fever-definition,0.8414109230041504,COVID_Illness_Length,0.33361450433731077,Treatment_info,0.2482495278120041
104,how does cover-19 compare to the SARS epidemic?,covid-flu-vs-coronavirus,globalcovid_pandemic,0.34990423917770386,COVID_Illness_Length,0.2860005676746369,Covid_Symptoms,0.2644469022750855
105,What is the difference between COVID-19 and the flu,covid-flu-vs-coronavirus,covid-flu-vs-coronavirus,0.8102705001831054,covid-flu-vs-common-cold,0.2964647173881531,globalcovid_pandemic,0.24882545471191408
106,Must a child be quarantined for 14 days if he/she had contact with a person who had travelled to a high-risk country/area? (child did not travel),covid_thailand_child_quarantine,covid_thailand_parent_quarantine,0.17455136679107142,covid_thailand_quarantine,0.1335309542983225,travel_embassies,0.13204192926365935
107,Are you safe?,General_Security_Assurance,General_Human_or_Bot,0.4930809736251831,General_Security_Assurance,0.4068528175354004,Bot_Control_Confirm_Presence,0.28102559447288517
108,How many people in the world have died?,tx_count,tx_count,0.9429671764373779,Covid_Case_Count,0.35238883495330814,Treatment_hospital_capacity,0.2741544604301453
109,What time can I meet the staff?,Customer_Care_Appointments,Customer_Care_Appointments,0.4033912897109986,COVID_Illness_Length,0.25838882327079776,govt_emergency,0.2583223342895508
110,yeah,Bot_Control_Approve_Response,Bot_Control_Approve_Response,0.8481955051422119,Goodbye,0.25281814336776737,covid-flu-vs-common-cold,0.2499177843332291
111,Returning from abroad,travel_backtoUS,travel_embassies,0.4908966064453125,covid_thailand_travel_update,0.27295507192611695,Covid_Event_Shutdowns,0.2679918766021729
112,where cani get tested,covid-screening,covid-screening,0.9615544319152833,covid_thailand_cost,0.3137609720230103,Covid_School_Shutdown,0.2965806066989899
113,I like that,Bot_Control_Approve_Response,Bot_Control_Approve_Response,0.4882915258407593,General_Negative_Feedback,0.2772213995456696,covid-diagnosis,0.26727023124694826
114,Covid impact,Covid_Description,Covid_Description,0.5327025413513184,cdc_summary,0.3438724637031555,Covid_School_Shutdown,0.3067532181739807
115,i changed my mind,Cancel,Bot_Control_Approve_Response,0.627143955230713,Customer_Care_Appointments,0.30659409761428835,Bot_Control_Ignore_Undo,0.26145650744438176
116,SARS vs Corona virus?,covid-flu-vs-coronavirus,Covid_Description,0.5268434762954712,covid-flu-vs-coronavirus,0.4689924001693726,tx_count,0.32608263492584233
117,Is Social Distancing the same as isolation?,Social_Distancing,Social_Distancing,0.909548854827881,covid-flu-vs-coronavirus,0.6428800106048584,General_Negative_Feedback,0.2557951152324677
118,how do you test,covid-screening,covid-screening,0.9318575382232666,General_Agent_Capabilities,0.26852138638496403,General_Security_Assurance,0.25001989603042607
119,What kind of food is safe from covid ?,Food_safety,Covid_Description,0.7711709499359132,Food_safety,0.45524394512176514,mask_type_question,0.35135208368301396
120,Where is the closest agent?,General_Connect_to_Agent,Test_Center_Contact_Info,0.8588530540466308,General_Connect_to_Agent,0.6765962600708009,tx_count,0.26240864992141727
121,How should I properly wash my hands?,covid_thailand_hand_washing,covid_thailand_hand_washing,0.9706916332244873,General_About_You,0.23617810606956482,masks_protection,0.23512297272682192
122,what are your hours,Customer_Care_Store_Hours,Customer_Care_Store_Hours,0.9830150127410888,General_Agent_Capabilities,0.33412095308303835,Bot_Control_Standby,0.23347235918045045
123,"Finished now, good bye",General_Ending,General_Ending,0.757659912109375,Goodbye,0.3769751787185669,General_Agent_Capabilities,0.2769133746623993
124,I am in a foreign country. Who can help me figure out what to do?,travel_embassies,travel_embassies,0.7148067474365234,travel_backtoUS,0.33179583549499514,masks_protection,0.2974458634853363
125,what is the count of coronavirus infected people?,tx_count,tx_count,0.91172513961792,Covid_Cleaning_Disinfecting,0.2977195203304291,covid_thailand_self_quarantine,0.26912981867790225
